Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
Master's,Information Technology,"Java, SQL, DSA, Python",AWS,8.32,Software Engineer
Bachelor's,Information Technology,"Java, SQL, Git, Python",Azure,6.65,Software Engineer
Master's,Information Technology,"DSA, Git, Java, SQL",Python Certification,7.02,Software Engineer
Bachelor's,Computer Science,"Python, Java, SQL, Git",Python Certification,9.45,Software Engineer
PhD,Information Technology,"Java, SQL, Git, Python",Python Certification,6.94,Software Engineer
Bachelor's,Information Technology,"Java, Python, DSA, SQL",Python Certification,9.09,Software Engineer
PhD,Computer Science,"SQL, Java, Python, DSA",AWS,7.51,Software Engineer
Bachelor's,Information Technology,"DSA, Git, Python, Java",Python Certification,8.17,Software Engineer
PhD,Computer Science,"Python, Git, SQL, DSA",Python Certification,9.39,Software Engineer
Bachelor's,Information Technology,"DSA, SQL, Java, Git",Python Certification,6.72,Software Engineer
PhD,Information Technology,"DSA, Git, Java, Python",AWS,8.64,Software Engineer
Bachelor's,Computer Science,"Java, Python, SQL, Git",AWS,9.57,Software Engineer
Bachelor's,Computer Science,"Git, Java, SQL, DSA",Azure,7.33,Software Engineer
Bachelor's,Computer Science,"Java, Git, SQL, DSA",Azure,7.62,Software Engineer
Master's,Information Technology,"Git, SQL, DSA, Python",Azure,6.53,Software Engineer
PhD,Computer Science,"Git, Java, DSA, Python",AWS,7.63,Software Engineer
PhD,Information Technology,"Java, Git, DSA, Python",Python Certification,7.61,Software Engineer
Bachelor's,Computer Science,"Java, Python, DSA, Git",AWS,7.87,Software Engineer
Master's,Computer Science,"SQL, Python, Git, DSA",AWS,9.24,Software Engineer
Master's,Computer Science,"Git, Python, Java, DSA",AWS,7.47,Software Engineer
PhD,Information Technology,"DSA, Python, Java, Git",AWS,9.79,Software Engineer
Master's,Computer Science,"Java, Python, Git, SQL",Python Certification,7.89,Software Engineer
Bachelor's,Computer Science,"SQL, Git, Python, Java",Python Certification,7.56,Software Engineer
Bachelor's,Information Technology,"SQL, Git, DSA, Python",Azure,7.27,Software Engineer
PhD,Computer Science,"Python, Git, DSA, SQL",Azure,7.88,Software Engineer
PhD,Computer Science,"DSA, Git, SQL, Java",AWS,9.33,Software Engineer
Bachelor's,Computer Science,"DSA, SQL, Java, Git",Python Certification,7.02,Software Engineer
Master's,Information Technology,"DSA, Python, SQL, Git",Python Certification,8.69,Software Engineer
Bachelor's,Computer Science,"SQL, Git, Java, DSA",Azure,6.63,Software Engineer
PhD,Computer Science,"Python, Java, DSA, Git",Python Certification,6.88,Software Engineer
Bachelor's,Computer Science,"Python, DSA, Java, SQL",Python Certification,6.9,Software Engineer
Master's,Computer Science,"Git, SQL, Java, Python",AWS,7.25,Software Engineer
Master's,Information Technology,"Python, Java, Git, DSA",Azure,8.73,Software Engineer
PhD,Computer Science,"Python, Git, Java, DSA",Azure,7.95,Software Engineer
Master's,Computer Science,"Git, SQL, DSA, Java",AWS,7.36,Software Engineer
Master's,Computer Science,"DSA, Python, SQL, Java",Azure,8.29,Software Engineer
PhD,Information Technology,"Java, DSA, Python, Git",Python Certification,7.73,Software Engineer
Master's,Information Technology,"Python, SQL, Java, DSA",AWS,7.94,Software Engineer
Bachelor's,Information Technology,"Git, SQL, Java, DSA",AWS,9.0,Software Engineer
PhD,Information Technology,"Git, Java, Python, DSA",Azure,7.29,Software Engineer
Master's,Information Technology,"Java, Git, DSA, Python",AWS,8.19,Software Engineer
Master's,Computer Science,"Java, Python, SQL, Git",AWS,7.32,Software Engineer
PhD,Computer Science,"Java, Git, Python, SQL",Python Certification,8.45,Software Engineer
Master's,Computer Science,"SQL, DSA, Python, Git",Python Certification,8.42,Software Engineer
Bachelor's,Information Technology,"Java, Git, SQL, DSA",AWS,9.15,Software Engineer
Master's,Information Technology,"Git, Java, SQL, DSA",Azure,9.42,Software Engineer
Master's,Information Technology,"Git, DSA, Python, SQL",Python Certification,8.01,Software Engineer
PhD,Computer Science,"DSA, Python, SQL, Java",Azure,9.66,Software Engineer
Master's,Information Technology,"DSA, SQL, Python, Java",Python Certification,6.99,Software Engineer
Master's,Information Technology,"Python, DSA, Java, Git",Azure,8.7,Software Engineer
Master's,Computer Science,"SQL, DSA, Python, Git",Azure,7.01,Software Engineer
PhD,Information Technology,"Java, Python, DSA, Git",Python Certification,7.29,Software Engineer
PhD,Computer Science,"Python, Java, Git, SQL",AWS,8.24,Software Engineer
Master's,Information Technology,"Python, Git, DSA, SQL",Python Certification,8.45,Software Engineer
Master's,Computer Science,"DSA, Java, SQL, Git",Azure,9.5,Software Engineer
PhD,Information Technology,"Python, DSA, Git, Java",Azure,7.49,Software Engineer
Bachelor's,Computer Science,"Python, Git, DSA, SQL",AWS,7.98,Software Engineer
Bachelor's,Computer Science,"Java, DSA, Python, SQL",Azure,9.05,Software Engineer
PhD,Computer Science,"SQL, DSA, Git, Python",Azure,8.67,Software Engineer
PhD,Computer Science,"Java, DSA, Python, Git",Python Certification,7.05,Software Engineer
Bachelor's,Computer Science,"DSA, Python, Java, Git",AWS,9.54,Software Engineer
Master's,Computer Science,"Git, SQL, DSA, Java",Azure,7.8,Software Engineer
Master's,Information Technology,"Python, DSA, SQL, Java",Python Certification,7.56,Software Engineer
Master's,Computer Science,"Java, DSA, SQL, Git",AWS,8.72,Software Engineer
Master's,Computer Science,"Java, DSA, SQL, Python",Azure,7.95,Software Engineer
PhD,Information Technology,"DSA, SQL, Python, Git",Azure,7.69,Software Engineer
Bachelor's,Information Technology,"DSA, Git, Python, Java",Azure,7.9,Software Engineer
Master's,Computer Science,"Python, Git, Java, DSA",Azure,9.27,Software Engineer
Master's,Computer Science,"Java, Python, SQL, DSA",AWS,6.77,Software Engineer
Bachelor's,Information Technology,"SQL, Python, DSA, Git",AWS,8.31,Software Engineer
Bachelor's,Information Technology,"Java, DSA, Git, Python",AWS,6.65,Software Engineer
Master's,Computer Science,"SQL, Java, Python, DSA",Python Certification,7.34,Software Engineer
Bachelor's,Computer Science,"Python, Java, DSA, SQL",Python Certification,8.96,Software Engineer
Bachelor's,Information Technology,"SQL, DSA, Git, Python",AWS,6.65,Software Engineer
Master's,Information Technology,"Java, Python, Git, DSA",Python Certification,9.31,Software Engineer
Bachelor's,Computer Science,"Git, Java, SQL, Python",Python Certification,9.25,Software Engineer
PhD,Computer Science,"Git, DSA, SQL, Python",Python Certification,9.18,Software Engineer
PhD,Computer Science,"Python, SQL, Java, Git",AWS,6.54,Software Engineer
Bachelor's,Information Technology,"Python, DSA, SQL, Java",AWS,8.2,Software Engineer
Master's,Computer Science,"Git, DSA, SQL, Python",AWS,8.43,Software Engineer
PhD,Computer Science,"Git, Java, Python, SQL",Python Certification,8.6,Software Engineer
Master's,Computer Science,"Git, DSA, SQL, Python",AWS,9.42,Software Engineer
Bachelor's,Information Technology,"Python, Git, Java, SQL",AWS,7.57,Software Engineer
Bachelor's,Computer Science,"Java, Python, DSA, Git",Azure,7.18,Software Engineer
Bachelor's,Information Technology,"Python, Java, Git, DSA",Python Certification,7.03,Software Engineer
PhD,Information Technology,"DSA, Java, SQL, Python",AWS,7.19,Software Engineer
Master's,Information Technology,"Git, DSA, Python, Java",Azure,7.15,Software Engineer
Bachelor's,Information Technology,"Git, Java, Python, SQL",Python Certification,9.62,Software Engineer
PhD,Information Technology,"Git, Java, SQL, Python",Python Certification,7.64,Software Engineer
PhD,Computer Science,"SQL, Git, Python, DSA",AWS,6.94,Software Engineer
Bachelor's,Computer Science,"Git, DSA, SQL, Java",AWS,8.87,Software Engineer
PhD,Information Technology,"Java, DSA, Git, SQL",Azure,9.62,Software Engineer
